Filename,Metadata Tags,Description,Permalink
03 Pilger bei Kloster cmyk.jpg,Scannsamlung,03 Pilger bei Kloster cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/39-88 DAI Ausgabe 1.2016 engl. Ordner/Links/03 Pilger bei Kloster cmyk.jpg
03 Statuette eines Silens.jpg,Scannsamlung,03 Statuette eines Silens,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/03 Statuette eines Silens.tif
03-(20100301_A_067).jpg,Scannsamlung,03-(20100301_A_067),http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/03-(20100301_A_067).tif
03-QMPS_20171104_W_039.jpg,Scannsamlung,03-QMPS_20171104_W_039,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/03-QMPS_20171104_W_039.jpg
03_Athen_29.10.08.jpg,Scannsamlung,03_Athen_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/03_Athen_29.10.08.tif
03_Austern.jpg,Scannsamlung,03_Austern,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/03_Austern.jpg
03_DSC09733.jpg,Scannsamlung,03_DSC09733,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/03_DSC09733.JPG
03_Meroe-Royal-Baths_Schutzbau_innen_Kere.jpg,Scannsamlung,03_Meroe-Royal-Baths_Schutzbau_innen_Kere,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Meroe-Royal-Baths/03_Meroe-Royal-Baths_Schutzbau_innen_Kere.jpg
03_Nil_HighDam cmyk.jpg,Scannsamlung,03_Nil_HighDam cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/03_Nil_HighDam cmyk.jpg
03_Reingruber_Pietrele.jpg,Scannsamlung,03_Reingruber_Pietrele,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/03_Reingruber_Pietrele.jpg
03_TutLabor cmyk.jpg,Scannsamlung,03_TutLabor cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/03_TutLabor cmyk.jpg
03_zwei-Koepfe.jpg,Scannsamlung,03_zwei-Koepfe,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/03_zwei-Koepfe.jpg
03a Goldbleche cmyk.jpg,Scannsamlung,03a Goldbleche cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/03a Goldbleche cmyk.jpg
03aa Toutankamon cmyk.jpg,Scannsamlung,03aa Toutankamon cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/03aa Toutankamon cmyk.jpg
04 Arbeitsplatz Jurte Foto M.Zick cmyk.jpg,Scannsamlung,04 Arbeitsplatz Jurte Foto M.Zick cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/39-88 DAI Ausgabe 1.2016 engl. Ordner/Links/04 Arbeitsplatz Jurte Foto M.Zick cmyk.jpg
04 Perirrhanterion aus Torbulok.jpg,Scannsamlung,04 Perirrhanterion aus Torbulok,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/04 Perirrhanterion aus Torbulok.tif
04-(20100303_A_217).jpg,Scannsamlung,04-(20100303_A_217),http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/04-(20100303_A_217).tif
04-QMPS_20171210_L_010 Pan-2.jpg,Scannsamlung,04-QMPS_20171210_L_010 Pan-2,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/04-QMPS_20171210_L_010 Pan-2.jpg
045-Archivraum-Orienthaus-Nachlassschränke-groß.jpg,Scannsamlung,045-Archivraum-Orienthaus-Nachlassschränke-groß,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Räume und Aktenschränke/045-Archivraum-Orienthaus-Nachlassschränke-groß.JPG
045-Archivraum-Orienthaus-Nachlassschränke-klein.jpg,Scannsamlung,045-Archivraum-Orienthaus-Nachlassschränke-klein,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Räume und Aktenschränke/045-Archivraum-Orienthaus-Nachlassschränke-klein.JPG
04_Gesamtszene-montiert.jpg,Scannsamlung,04_Gesamtszene-montiert,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/04_Gesamtszene-montiert.tif
04_Pietrele_Tell am 24Juli 08.jpg,Scannsamlung,04_Pietrele_Tell am 24Juli 08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/04_Pietrele_Tell am 24Juli 08.JPG
04_RGK_29.10.08.jpg,Scannsamlung,04_RGK_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/04_RGK_29.10.08.tif
04_TutAufbau cmyk bear.jpg,Scannsamlung,04_TutAufbau cmyk bear,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/04_TutAufbau cmyk bear.tif
04_TutAufbau kl cmyk.jpg,Scannsamlung,04_TutAufbau kl cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/04_TutAufbau kl cmyk.tif
04a_2016Juli_MartinBachmann_3 cmyk.jpg,Scannsamlung,04a_2016Juli_MartinBachmann_3 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-1/04a_2016Juli_MartinBachmann_3 cmyk.jpg
04a_DSC08045 cmyk.jpg,Scannsamlung,04a_DSC08045 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/04a_DSC08045 cmyk.jpg
04b_DSC09098 cmyk.jpg,Scannsamlung,04b_DSC09098 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/04b_DSC09098 cmyk.jpg
05 Felsengrab Aufstieg Foto E. Pohl cmyk.jpg,Scannsamlung,05 Felsengrab Aufstieg Foto E. Pohl cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/39-88 DAI Ausgabe 1.2016 engl. Ordner/Links/05 Felsengrab Aufstieg Foto E. Pohl cmyk.jpg
05 Grabungsgelände Torbulok.jpg,Scannsamlung,05 Grabungsgelände Torbulok,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/05 Grabungsgelände Torbulok.tif
05-(20100317_A_205 Pan).jpg,Scannsamlung,05-(20100317_A_205 Pan),http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/05-(20100317_A_205 Pan).tif
05-QMPS_20171105_W_021.jpg,Scannsamlung,05-QMPS_20171105_W_021,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/05-QMPS_20171105_W_021.jpg
05.07.2006 Vladimir 111.jpg,Scannsamlung,05.07.2006 Vladimir 111,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Portraits Parzinger/Weltkunst/05.07.2006 Vladimir 111.jpg
05_DSC09338 cmyk.jpg,Scannsamlung,05_DSC09338 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/05_DSC09338 cmyk.jpg
05_Foto-Froehlich.jpg,Scannsamlung,05_Foto-Froehlich,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2016-2/05_Foto-Froehlich.jpg
05_Gesamtszene-nachbearbeitet&ergaenzt.jpg,Scannsamlung,05_Gesamtszene-nachbearbeitet&ergaenzt,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsidentin_ZD 2012/Lesezeichen_Tiryns/05_Gesamtszene-nachbearbeitet&ergaenzt.tif
05_Grundriß.jpg,Scannsamlung,05_Grundriß,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Afrika-Sammlung/05_Grundriß.jpg
05_Kairo_29.10.08.jpg,Scannsamlung,05_Kairo_29.10.08,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Karten 29.10.08_Ebenen/05_Kairo_29.10.08.tif
05_P08F_Gebaeude.jpg,Scannsamlung,05_P08F_Gebaeude,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Original-Vorlagen/Pietrele/05_P08F_Gebaeude.jpg
05_SurveyBohrpunkte.jpg,Scannsamlung,05_SurveyBohrpunkte,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/05_SurveyBohrpunkte.jpg
06 Fatimidenfriedhof cmyk.jpg,Scannsamlung,06 Fatimidenfriedhof cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Sonderausgabe AW 2016-1 Bilder/Englische Versionen/Heft 1.2016 engl/01-39 DAI Ausgabe 1.2016 engl. Ordner/Links/06 Fatimidenfriedhof cmyk.jpg
06 TB_2014_10_04_058.jpg,Scannsamlung,06 TB_2014_10_04_058,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/06 TB_2014_10_04_058.tif
06 TB_2014_10_04_086.jpg,Scannsamlung,06 TB_2014_10_04_086,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2015-1/06 TB_2014_10_04_086.tif
06-(Collage small finds rgb mit Büffel_Hippo2).jpg,Scannsamlung,06-(Collage small finds rgb mit Büffel_Hippo2),http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Hamadab/06-(Collage small finds rgb mit Büffel_Hippo2).tif
06-07-2006_13.jpg,Scannsamlung,06-07-2006_13,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Portraits Parzinger/Weltkunst/06-07-2006_13.jpg
06-QMPS_20160227_C_157 Pan.jpg,Scannsamlung,06-QMPS_20160227_C_157 Pan,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Sudan-Bilder-Tagesspiegel/Pyramiden/06-QMPS_20160227_C_157 Pan.jpg
060217WadiRum1994 (2).jpg,Scannsamlung,060217WadiRum1994 (2),http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2014-1/060217WadiRum1994 (2).tif
068-Archivraum-Bittelhaus-Nachlässe-klein.jpg,Scannsamlung,068-Archivraum-Bittelhaus-Nachlässe-klein,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/00_Pressebildpool/Jahresberichte P/Jahresbericht Präsident_ZD 2009/Bilder Cluster 5/Räume und Aktenschränke/068-Archivraum-Bittelhaus-Nachlässe-klein.JPG
06_DSC08974 cmyk.jpg,Scannsamlung,06_DSC08974 cmyk,http://oneeyedjacks01.dai-cloud.uni-koeln.de/oeff/Bilder AW 2017-2/06_DSC08974 cmyk.jpg
